id,email,introduction,name,profilepic,tutions
dance,Srinu@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",Srinu,https://tempfiles-caches.s3.ap-south-1.amazonaws.com/profile-images/1753246533442-profile_1753246533417.jpg,"[{""skill"":""Dance"",""timeFrom"":""18:00"",""timeTo"":""19:00"",""charge"":"""",""day"":""Wednesday"",""skillId"":""dance""}]"
dance,david@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",David,https://randomuser.me/api/portraits/men/61.jpg,"[{""skill"":""Dance"",""timeFrom"":""18:00"",""timeTo"":""19:00"",""charge"":"""",""day"":""Wednesday"",""skillId"":""dance""}]"
dance,davidr@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",David R,https://tempfiles-caches.s3.ap-south-1.amazonaws.com/profile-images/1753249241725-profile_1753249241700.jpg,"[{""skill"":""Dance"",""timeFrom"":""21:00"",""timeTo"":""22:00"",""charge"":""200/Hr"",""day"":""Wednesday"",""skillId"":""dance""}]"
dance,john@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",john,https://randomuser.me/api/portraits/men/43.jpg,"[{""skill"":""Dance"",""timeFrom"":""18:00"",""timeTo"":""19:00"",""charge"":"""",""day"":""Wednesday"",""skillId"":""dance""}]"
dance,koti@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",Koti,https://tempfiles-caches.s3.ap-south-1.amazonaws.com/profile-images/1753246533442-profile_1753246533417.jpg,"[{""skill"":""Dance"",""timeFrom"":""18:00"",""timeTo"":""19:00"",""charge"":"""",""day"":""Wednesday"",""skillId"":""dance""}]"
dance,nihal@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",Nihal,https://randomuser.me/api/portraits/men/43.jpg,"[{""skill"":""Dance"",""timeFrom"":""18:00"",""timeTo"":""19:00"",""charge"":"""",""day"":""Wednesday"",""skillId"":""dance""}]"
dance,raju@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",Raju,https://tempfiles-caches.s3.ap-south-1.amazonaws.com/profile-images/1753246533442-profile_1753246533417.jpg,"[{""skill"":""Dance"",""timeFrom"":""18:00"",""timeTo"":""19:00"",""charge"":"""",""day"":""Wednesday"",""skillId"":""dance""}]"
dance,shiva1@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",Shiv1,https://tempfiles-caches.s3.ap-south-1.amazonaws.com/profile-images/1753246533442-profile_1753246533417.jpg,"[{""skill"":""Dance"",""timeFrom"":""18:00"",""timeTo"":""19:00"",""charge"":"""",""day"":""Wednesday"",""skillId"":""dance""}]"
dance,shiva@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",Shive,https://randomuser.me/api/portraits/men/61.jpg,"[{""skill"":""Dance"",""timeFrom"":""18:00"",""timeTo"":""19:00"",""charge"":"""",""day"":""Wednesday"",""skillId"":""dance""}]"
dance,swami@gmail.com,"Hey,I will be teach Subjects like Maths,Physics and some more...",Swami,https://tempfiles-caches.s3.ap-south-1.amazonaws.com/profile-images/1753246533442-profile_1753246533417.jpg,"[{""skill"":""Dance"",""timeFrom"":""18:00"",""timeTo"":""19:00"",""charge"":"""",""day"":""Wednesday"",""skillId"":""dance""}]"
